"";"Harry Potter i Czara Ognia";"Harry Potter i Czara Ognia.txt";"Harry Potter i Insygnia Smierci";"Harry Potter i Insygnia Smierci.txt";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Kamien Filozoficzny.txt";"Harry Potter i Komnata Tajemnic";"Harry Potter i Komnata Tajemnic.txt";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Ksiaze Polkrwi.txt";"Harry Potter i Przeklete Dziecko";"Harry Potter i Przeklete Dziecko.txt";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Wiezien Azkabanu.txt";"Harry Potter i Zakon Feniksa";"Harry Potter i Zakon Feniksa.txt";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Kon i jego chlopiec.txt";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Ksiaze Kaspian.txt";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Lew, czarownica i stara szafa.txt";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Ostatnia bitwa.txt";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Podroz Wedrowca do Switu.txt";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Siostrzeniec Czarodzieja.txt";"Opowiesci z Narni. Srebrne krzeslo";"Opowiesci z Narni. Srebrne krzeslo.txt";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Ksiezyc w Nowiu.txt";"Zmierzch.Przed Switem";"Zmierzch.Przed Switem.txt";"Zmierzch.Zacmienie";"Zmierzch.Zacmienie.txt";"Zmierzch.Zmierzch";"Zmierzch.Zmierzch.txt"
"<9c>rodku";1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>w";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wi<ea>ta";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wi<ea>tach";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wi<ea>tami";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wi<ea>tego";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wi<ea>tuj<b9>";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"<9c>wi<ea>ty";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wi<f1>skim";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wiadkiem";1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wiadom";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"<9c>wiadomo<9c><e6>";1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wiat";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"<9c>wiat<b3>a";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wiat<b3>em";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wiat<b3>o";1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wiatami";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"<9c>wiatu";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>widrogrzmot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>widrogrzmota";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wiec<b9>ca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wiecie";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wietle";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wietlisty";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wietnie";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wisto<9c>wink<b9>";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wisto<9c>wink<ea>";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wistoklik";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wistoklik<f3>w";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wistoklika";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
